Column1,꽃,월,일,계절,꽃말,설명,이미지
2,수선화,1,2,겨울,"자만심, 자존심, 자신만을 사랑하다","수선화의 유래를 보면 그리스신화에 나오는 미소년 나르시스(나르키소스)가 제 모습에 반하여 죽어 꽃이 되었다하니 그 정도의 자존심이면 꽃이 고개를 들만도 한데 꽃은 늘 땅을 바라보고 있다. 꽃 모양은 은 접시에 금잔이 놓여있는 듯 아름답고 향기도 강하다. 아름답고 똑똑한 것도 좋지만 너무 지나치면 결국 자기도취에 빠져 헤어날 수 없음을 가르쳐 주는 듯 하다.추위엔 강한 편으로 전국에서 월동이 가능하지만 꽃은 정원에서 서울 등 중부지역은 4월 이후에 피며, 제주(제주수선)에서는 2월이면 핀다. 음지나 여름철의 더위에는 약하다. 암석정원이나 일반 가정의 이른 봄 화단용으로 잘 어울리며, 꽃이 없을 때 잎 모양도 정연하여 보기가 좋다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0105-3.jpg
249,수선화,1,3,겨울,신비,"당신은 상처받는 것이 두려워 뒤로 물러서는 타입입니다. 이제는 용기가 필요한 당신입니다.
그리스에 나르키소스라는 미소년이 살고 있었다. 나르키소스는 임프들의 애달픈 구애에도 아랑곳 하 지 않았다. 그것을 못견딘 임프 하나가 복수의 여신에게 빌었다. ""교만한 나르키소스가 언젠가 참사랑 에 눈뜨게 하옵시고 그 사랑이 깨어지게 해 주옵소서"" 나르키소스를 저주한 임프의 기원은 얼마 안가 서 이루어졌다. 나르키소스는 호수속에 비친 자신을 사랑하게 되었다. 나르키소스는 자신의 모습에 반해 호수를 떠나지 못했다. 물속만 바라보던 나르키소스는 말라서 죽고 말았다. 그후 그가 죽은 자리 에 가련하고 청초하면서도 품위있는 꽃 한송이가 피어났다. 이름하여 수선화, 또는 나르키소스라고
불린다. 미소년의 넋은 물가에서만 꽃을 피우고 있다.",https://i.namu.wiki/i/fk6EUlXQiNYbuUekI4XjT9v9qmeoDTICYzOxcSwv0Dx0ZdvuXlB15910LyVf_jz3oWEP6RMp6XZRbL4TSYy-KA.webp
252,수영,1,21,겨울,친근한 정,당신은 첫눈에 띠기 보다는 상대편을 만날때마다 상냥한 사람이 되어가는 타입입니다.,https://lh6.googleusercontent.com/proxy/7HXsZ3AhQ8OW_VfZQmRRF54ygTdkaZuqRNO2PDNQu39jQyYvir6NCzwAhF-fRc2SDSVm1dfxCH4l6N_kfr4MY8uFCNjDJCh4Vj7aYv_A7O4S97y1DbY77ZDl7EecGcozp7lr
239,스노드롭,1,11,겨울,깊은애정,"1월1일에 태어난 당신은 눈이 내려도 찬바람이 불어도 결코 굴하지 않는 스노드롭처럼 인내심이 강
한 성격을 갖고 있습니다.",https://t1.daumcdn.net/brunch/service/user/eiwO/image/X5SKk4066zHhxk7mfnn29_DHzSM.jpg
3,스토크,1,10,겨울,"영원한 아름다움, 사랑의 굴레",생화로도 향이 좋으나 드라이플라워로 만들어도 향기가 나는 방향성식물이다. 꽃말처럼 이젠 아름다움은 눈에 보이는 것만으로는 부족한 듯 하다. 향기까지 생각한다면 오래 기억되는 아름다움이다.일년생 초화류로 원예품종이 많이 개발되어 있다. 우리나라에서는 꽃꽂이용으로 상당량 재배되고 있으며 재배품종은 일본에서 육성한 품종이 주류를 이루고 있다. 꽃은 품종에 따라 여러 가지 색이 있지만 국내에서 재배되는 것은 대부분 흰색계통이다. 일반 가정에서 화단이나 분화용으로 기르는 경우는 거의 없고 대부분 꽃꽂이용으로 활용되고 있다.\n\n,https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0107-3.jpg
250,시클라멘,1,9,겨울,내성적 성격,"시클라멘을 탄생화로 태어난 당신은 따뜻한 마음의 소유자이지만 때때로 합리성을 잃고 시기심이 두 드러지게 나타나는 일이 있습니다.
꽃이 아래를 보고 피는 것은 땅에서 나오기를 기다리느라고 그렇다는 이야기도 있고, 꽃이 빨간 것은 슬픔의 칼로 꽃의 심장을 찔렀기 때문이라는 말도 있다. 그리고 수도에만 전념하던 한 수도녀가 남자 를 사랑하게 되었고 사랑을 알게 되자 종교를 뿌리치고 남자와 도피했다가 실연을 당하자 결국 자살 을 해버렸는데, 피를 흘린 수도녀의 넋이 시클라멘이 되었다는 이야기도 전한다. 이런 이야기 때문인 지 땅으로 고개를 숙이고 있는 이꽃을 보고 있으면 어딘지 모르게 수줍고 내성적인 가련한 소녀를 바 라보는 것 같다. 수줍음은 많을지언정 가슴속에는 뜨거운 사랑을 품고 있는 시클라멘. 사랑을 말로 전 하기 쑥스러울 때 이꽃으로 용기를 내어 보았으면 한다.",https://i.namu.wiki/i/UsJEkbzMUSNUWdu8UZGYOAHtqofIh6wn7bbBl5ukAd_3SjFVyEjBNkqEzN7Okb46yheZP9whhl4Hih-NsxFsHQ.webp
717,심비디움,1,11,겨울,귀부인,"크기와 색상이 다양하며 수명이 긴 것이 특징인 심비디움은 서양난의 한 종류예요. 은은하고 우아한 빛깔과 활짝 벌어진 꽃잎은 격식을 갖춘 자리에 잘 어울립니다. 그래서인지 특히 결혼식에 많이 쓰이는 꽃으로, 특히 혼주의 코사지에 많이 사용되는 꽃이기도 합니다.",https://file.honestflower.kr/media/images/ingredientimage/1710217845/1254_square.webp
4,아마릴리스,1,12,겨울,"수다쟁이, 눈부신 아름다움","본래의 아마릴리스는 Belladonna Lily를 말하며 오늘의 꽃은 여러 종을 교배하여 만들어낸 품종이다. 꽃이 크고 화려해서 아름다운 귀부인을 보는 듯한 느낌이 든다.꽃과 잎을 모두 관상하는 분화용으로 인기 있는 품목이며, 최근에는 꽃이 매우 화려하기 때문에 절화용으로도 인기가 좋다. 현재 많은 원예품종들이 개발되어 꽃색도 다양하다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0109-3.jpg
10,아프리칸 바이올렛,1,13,겨울,작은사랑,"흔히 바이올렛이라고 줄여 부르는데, 아프리칸바이올렛이 정식명칭이다. 환경만 맞으면 일년 내내 꽃이 피기 때문에 꽃이 없는 한 겨울에도 사랑받는 식물이다. 실내 원예식물 중 가장 많은 사랑을 받고 있다 해도 과언이 아니다. 꽃 색상이 매우 다양하고 꽃모양도 갖가지다.식물이 작아 아래 작은 공간에서도 얼마든지 기르기 쉽다. 다양한 종류를 모둠으로 모아 심어도 좋고, 집안 어디에나 잘 어울리는데 특히 거실창가나 부엌 및 사무실 창틀에 놓으면 보기 좋다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0119-3.jpg
248,알리섬,1,14,겨울,뛰어난 아름다움,당신은 자기 내부의 우아함을 자각함으로써 주위 사람들에게 기품있는 인상을 줍니다.,https://mblogthumb-phinf.pstatic.net/20160426_140/birthflowerss_1461640379990RWWV2_JPEG/DSC00433.jpg?type=w800
6,앵초,1,15,겨울,번영,"물결치는 듯이 곱슬거리는 잎이 인상적인 앵초는 전형적인 한국의 자생화다. 물론 우리와 자연환경이 비슷한 중국이나 일본지역에서도 자생한다.\n자연 상태에서 꽃이 3-4월에 피는데, 핑크 빛으로 피는 꽃의 자태는 정말 아름답다. 키는 10cm이내이면서 잎 모양이 좋고 특히 꽃의 관상가치가 높아 고급 화단용으로 좋다. 추위에는 매우 강하지만 여름 고온에는 약하다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0111-3.jpg
253,어저귀,1,16,겨울,억측,"당신은 무엇이건 억측을 일삼는 타입이기 때문에 존경할만한 사람을 찾아 그 사람의 삶과 사고방식
에 대해 배우는 것이 필요합니다.",https://lh6.googleusercontent.com/proxy/tYmUBkQdlJw2owpAUMYmH8C36hXNFS9akRtIvma2rwZpklJd6_4vLk1d5HbFdT0-3BATzYbStgscWpd4ueIFTxjCXRSDfDkZvy9X-pDDTJqjyzJJH8XWv4N_g3noHaBcn6qvxxHDofCU4Q8zWNegPOpmj_ieA0u8fww
8,온시디움,1,17,겨울,순박한 마음,"온시디움은 꽃이 발랄한 소녀들을 연상시키기도 하고 나비를 보는 듯한 착각도 들어서 보는 이의 마음을 한결 밝고 즐겁게 해주는 착생란의 일종이다. 개체의 크기와 꽃의 색이나 모양이 상당히 다양하며, 특히 초코렛색 계통은 진한 향기가 난다.꽃 모양이 좋고 개화기가 여름철로 대부분 난들이 출하되는 시기와 달라 키가 작고 향기가 나는 것들은 분화용으로 키가 크고 꽃이 많이 달리는 것들은 절화용으로 길러볼만한 식물이다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0115-3.jpg
5,우묵사스레피,1,18,겨울,기억 속에 새기다.,남해의 세찬 바닷바람에도 잘 견디는 늘 푸른 나무이다. 뒤로 약간 말려들어간 동그랗고 작은 잎도 귀엽지만 열매가 쥐똥같이 생겼다 하여 섬 지방에서는 섬쥐똥나무라고도 부른다.전체적인 수형도 아름답고 생장이 빠르며 공해에도 강하지만 음지나 추위에 약한 편이다. 남부의 공단이나 도로변에 조경용으로 이용이 가능하며 남부지역에서는 정원이나 생울타리용으로도 좋은 식물이다. 사스레피나무의 절지는 전국적으로 화환 제작에 이용된다. 우리나라에서는 화환을 만들 때 사스레피나무와 함께 녹색배경으로 가장 많이 쓰이는 소재 중의 하나이다.,https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0110-1.jpg
761,일반 수선화,1,19,겨울,"자기애, 자존심, 고결","1월의 탄생화라고도 불리우는 수선화는 1월부터 4월까지 만나볼 수 있는 이른 봄을 알리는 꽃, 수선화는 이 계절 대표적인 구근 식물이예요. 흰 눈 속에서 추위를 이겨내고 꽃을 피워내는 모습으로 인해 '설중화' 라는 이름도 가지고 있어 19세기부터 우리 전통 문화 깊숙히 길한 상징으로 자주 등장하는 꽃이기도 해요.",https://file.honestflower.kr/media/images/ingredientimage/1708917513/872_square.webp
257,점나도식물,1,21,겨울,순진,"사랑해서는 안될 사람을 사랑하는게 당신의 운명입니다. 좀 더 세상을 폭넓게 보는 것이 선결과제 입
니다.",https://img1.daumcdn.net/thumb/R1280x0.fjpg/?fname…rvice/user/eiwO/image/8RCUm4O3wukA7aXBxt-YRpxRYZg
7,카틀레야,1,20,겨울,당신은 미인입니다.,"국내에서는 기호도가 그리 높지 않지만 서양에서는 많이 이용되며 고급 란으로 취급되고 있다. 꽃말에서처럼 꽃 중의 여왕이라고 불릴 정도로 매우 화려하며 꽃이 크다. 품종에 따라 진한 향기가 있는 것들도 있다.꽃색이 흰, 노랑, 자주, 밤색 등 다양하며 향기나는 것도 있다. ‘코사지의 난’이라 불릴 정도로 외국에서는 무도회 때 가슴이나 어깨를 장식하는 용도로 인기가 있다. 꽃 수명이 길어 분화용 또는 절화용으로 이용되는 것이 보통이며, 실내정원 같은 곳에서 걸이용으로도 이용되기도 한다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0114-1.jpg
14,칼세올라리아,1,22,겨울,나의 재산을 드립니다.,"주머니처럼 생긴 꽃들이 넓은 잎 뒤로 붙어 있어서 속칭 주머니꽃이라고도 불린다. 꽃대가 큰 것부터 아주 작아서 바닥에 기는 것까지 다양하며 꽃 모양도 둥근 원형이 있는가 하면 난처럼 혀를 내밀고 있는 것들도 있다. 키가 아주 작은 편이며 작은 꽃들이 다닥다닥 붙어 공처럼 송이를 형성하고 있다.가을에 파종하는 일년 초화류로 흔히 재배되고 있으며, 봄과 여름사이의 화단용으로 많이 쓰이고 있고 다른 초화분화처럼 3-4월에 분화로도 많이 이용된다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0130-1.jpg
9,크로커스,1,23,겨울,"믿는 기쁨, 청춘의 기쁨","겨울이 지나 나무의 새잎이 나오기도 전에 피어나는 꽃 중의 하나로 키는 아주 작다. 꽃대의 모양이 실처럼 생겼다 해서 그리이스어인 Krokos(실)에서 나온 이름이다. 정원에 심어두면 이른 봄에 살며시 꽃대를 내밀며 바로 탐스러운 꽃들이 핀다. 가을에 심어 봄에 꽃을 보는 대표적인 가을에 심는알뿌리류이다.이른 봄에 화사한 꽃을 피워주기 때문에 화단 또는 분화용으로 흔히 이용된다. 꽃은 컵처럼 생겼으며 꽃색은 백, 크림, 노랑, 황금, 라벤다, 자주색 등 다양하며 봄에 피는 것과 가을에 피는 것이 있다. 자연 상태에서는 봄에 피는 것이 많으며 매우 이른 봄에 피는데 우리 자생화인 복수초처럼 눈 덮인 땅 위에서 꽃이 눈을 뚫고 나오는 종도 있다. 꽃 모양이 예쁘고 꽃이 지고 난 뒤 나오는 잎들도 정연하여 인기가 높아 현재는 무수히 많은 원예품종들이 개발되어 있다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0116-1.jpg
245,튤립,1,24,겨울,실연,"튜울립을 탄생화로 태어난 당신은 사랑을 여러번 거듭합니다. 그러나 슬픔은 당신보다도 연인편에 있 으니 신성한 사랑을 하는게 당신답습니다.
청년 필허드와 샤린은 사랑하는 연인 사이였다. 어느날 필허드는 샤린이 죽었다는 소식을 듣게 되었 다. 그는 슬픔을 이기지 못하고 돌산에서 몸을 던져 죽고 말았다.하지만 샤린은 살아 있었다. 필허드 가 몸을 던졌을 때 흘러나온 피에서 튤립이 피어났다는 이란의 전설이다.",https://i.namu.wiki/i/7yvv0KMazPnpit1uNGMZl4SukTxgt0_13A5CrfyLePoEITLMksSOJOY9ijZW5WR9HTV-Z2RriBgdn67x3X5SRQ.webp
